word,meaning,furigana,romaji,level
並行,"(going) side by side, concurrent, abreast, at the same time",へいこう,heikō,N2
俄,"sudden, abrupt, unexpected, improvised, offhand",にわか,niwaka,N2
秤,"scales, weighing machine",はかり,hakari,N2
只,"free of charge, mere, sole, only, usual, common",ただ,tada,N2
補う,to compensate for,おぎなう,oginau,N2
郡,"country, district",ぐん,gun,N2
再来年,year after next,さらいねん,sarainen,N2
王女,princess,おうじょ,ōjo,N2
マスク,mask,,masuku,N2
焦がす,"to burn, to scorch, to singe, to char",こがす,kogasu,N2
迫る,"to draw near, to press",せまる,semaru,N2
侵入,"penetration, invasion, raid, aggression, trespass",しんにゅう,shinnyū,N2
生る,to bear fruit,なる,naru,N2
どなる,"to shout, to yell",,donaru,N2
都心,heart (of city),としん,toshin,N2
発揮,"exhibition, demonstration, utilization, display",はっき,hakki,N2
一通り,"ordinary, usual, in general, briefly",ひととおり,hitotōri,N2
独り言,"a soliloquy, a monologue, speaking to oneself",ひとりごと,hitorigoto,N2
卑怯,"cowardice, meanness, unfairness",ひきょう,hikyō,N2
真っ先,"the head, the foremost, beginning",まっさき,massaki,N2
副詞,adverb,ふくし,fukushi,N2
針金,wire,はりがね,harigane,N2
砕ける,"to break, to be broken",くだける,kudakeru,N2
催し,"event, festivities, function",もよおし,moyōshi,N2
祝日,national holiday,しゅくじつ,shukujitsu,N2
尖る,"to taper to a point, to become sharp, to be sour, to look displeased",とがる,togaru,N2
無数,"countless number, infinite number",むすう,musū,N2
利害,"advantages and disadvantages, interest",りがい,rigai,N2
終点,"terminus, last stop (e.g train)",しゅうてん,shūten,N2
透き通る,to be(come) transparent,すきとおる,sukitōru,N2
待ち合わせる,"to rendezvous, to meet at a prearranged place and time",まちあわせる,machiawaseru,N2
差し引き,"deduction, subtraction, balance, ebb and flow, rise and fall",さしひき,sashihiki,N2
賞金,"prize, monetary award",しょうきん,shōkin,N2
乾燥,"dry, arid, insipid, dehydrated",かんそう,kansō,N2
ひゃっかじてん,encyclopedia,,hyakkajiten,N2
略す,to abbreviate,りゃくす,ryakusu,N2
子孫,"descendants, posterity, offspring",しそん,shison,N2
見慣れる,"to become used to seeing, to be familiar with",みなれる,minareru,N2
満員,"full house, no vacancy, sold out",まんいん,man'in,N2
夜行,"walking around at night, night train, night travel",やこう,yakō,N2
なぐる,"to strike, to hit",,naguru,N2
親指,thumb,おやゆび,oyayubi,N2
幼稚園,kindergarten,ようちえん,yōchien,N2
特長,"forte, merit",とくちょう,tokuchō,N2
工事,construction work,こうじ,kōji,N2
かしこまりました,certainly!,,kashikomarimashita,N2
湧く,"to boil, to grow hot, to get excited, to gush forth",わく,waku,N2
引力,gravity,いんりょく,inryoku,N2
現に,"actually, really",げんに,genni,N2
垣根,hedge,かきね,kakine,N2
苦情,"complaint, troubles, objection",くじょう,kujō,N2
かわいがる,"to love, to be affectionate",,kawaigaru,N2
効力,"effect, efficacy, validity, potency",こうりょく,kōryoku,N2
無限,infinite,むげん,mugen,N2
ウエートレス,waitress,,uētoresu,N2
浮ぶ,"to float, to rise to surface, to come to mind",うかぶ,ukabu,N2
御無沙汰,not writing or contacting for a while,ごぶさた,gobusata,N2
緩い,"loose, lenient, slow",ゆるい,yurui,N2
レンズ,lens,,renzu,N2
税関,customs house,ぜいかん,zeikan,N2
踏切,"railway crossing, level crossing, starting line, scratch, crossover",ふみきり,fumikiri,N2
順序,"order, sequence, procedure",じゅんじょ,junjo,N2
地点,"site, point on a map",ちてん,chiten,N2
主役,"leading part, leading actor (actress)",しゅやく,shuyaku,N2
誓う,"to swear, to vow, to take an oath, to pledge",ちかう,chikau,N2
手首,wrist,てくび,tekubi,N2
物語る,"to tell, to indicate",ものがたる,monogataru,N2
所々,"here and there, some parts (of something)",ところどころ,tokorodokoro,N2
鉄橋,"railway bridge, iron bridge",てっきょう,tekkyō,N2
先程,some time ago,さきほど,sakihodo,N2
絶えず,constantly,たえず,taezu,N2
蛇口,"faucet, tap",じゃぐち,jaguchi,N2
赤道,equator,せきどう,sekidō,N2
突き当たる,"to run into, to collide with",つきあたる,tsukiataru,N2
響き,"echo, sound, reverberation, noise",ひびき,hibiki,N2
治める,"(1) to govern, to manage, (2) to subdue",おさめる,osameru,N2
泊める,"to give shelter to, to lodge",とめる,tomeru,N2
政党,(member of) political party,せいとう,seitō,N2
嫌がる,"to hate, to dislike",いやがる,iyagaru,N2
直前,just before,ちょくぜん,chokuzen,N2
ビルディング,building,,birudingu,N2
塵芥,"trash, rubbish",ごみ,gomi,N2
へそ,"navel, belly-button",,heso,N2
実用,"practical use, utility",じつよう,jitsuyō,N2
悔やむ,to mourn,くやむ,kuyamu,N2
混ざる,"to be mixed, to be blended with, to associate with, to mingle with, to join",まざる,mazaru,N2
四捨五入,rounding up (fractions),ししゃごにゅう,shishagonyū,N2
固まる,"to harden, to solidify, to become firm, to become certain",かたまる,katamaru,N2
磁石,magnet,じしゃく,jishaku,N2
周辺,"circumference, outskirts, environs, (computer) peripheral",しゅうへん,shūhen,N2
原産,"place of origin, habitat",げんさん,gensan,N2
こちらこそ,it is I who should say so,,kochirakoso,N2
棄てる,,すてる,suteru,N2
しっぽ,tail (animal),,shippo,N2
バック,back,,bakku,N2
熱する,to heat,ねっする,nessuru,N2
問い合わせ,"enquiry, ENQ",といあわせ,toiawase,N2
炊事,"cooking, culinary arts",すいじ,suiji,N2
冠,"crown, diadem, first, best",かんむり,kanmuri,N2
碗,bowl,わん,wan,N2
コレクション,"(1) collection, (2) correction",,korekushon,N2
増やす,"to increase, to add to, to augment",ふやす,fuyasu,N2
ゼミ,(n) seminar,,zemi,N2
看病,nursing (a patient),かんびょう,kanbyō,N2
個所,"passage, place, point, part",かしょ,kasho,N2
作る / 造る,"to make, to create",つくる,tsukuru,N2
紫,"purple colour, violet",むらさき,murasaki,N2
ぴかぴか,"glitter, sparkle",,pikapika,N2
縫う,to sew,ぬう,nū,N2
紺,"navy blue, deep blue",こん,kon,N2
長引く,"to be prolonged, to drag on",ながびく,nagabiku,N2
湿度,level of humidity,しつど,shitsudo,N2
心得る,"to be informed, to have thorough knowledge",こころえる,kokoroeru,N2
診る,to examine (medical),みる,miru,N2
箸,chopsticks,はし,hashi,N2
ミリ,"milli-, 10^-3",（メートル）,(mētoru),N2
水素,hydrogen,すいそ,suiso,N2
髭,"moustache, beard, whiskers",ひげ,hige,N2
チップ,"(1) gratuity, tip, (2) chip",,chippu,N2
分量,"amount, quantity",ぶんりょう,bunryō,N2
香水,perfume,こうすい,kōsui,N2
申し訳ない,inexcusable,もうしわけない,mōshiwakenai,N2
陽射,"sunlight, rays of the sun",ひざし,hizashi,N2
祭日,"national holiday, festival day",さいじつ,saijitsu,N2
容積,"capacity, volume",ようせき,yōseki,N2
例える,"to compare, to liken, to speak figuratively, to illustrate, to use a simile",たとえる,tatoeru,N2
甚だしい,"extreme, excessive, terrible",はなはだしい,hanahadashii,N2
桁,"column, beam, digit",けた,keta,N2
うどん,noodles (Japanese),,udon,N2
焦げる,"to burn, to be burned",こげる,kogeru,N2
命ずる,"to command, to appoint",めいずる,meizuru,N2
送料,"postage, carriage",そうりょう,sōryō,N2
そのため,"hence, for that reason",,sonotame,N2
感激,"deep emotion, impression, inspiration",かんげき,kangeki,N2
失恋,"disappointed love, broken heart, unrequited love, be lovelorn",しつれん,shitsuren,N2
怪しい,"suspicious, dubious, doubtful",あやしい,ayashii,N2
拡充,expansion,かくじゅう,kakujū,N2
ダブル,double,,daburu,N2
性能,"ability, efficiency",せいのう,seinō,N2
真っ青,"deep blue, ghastly pale",まっさお,massao,N2
押える,"to stop, to restrain, to seize, to repress, to suppress, to press down",おさえる,osaeru,N2
どうせ,"anyhow, in any case, at any rate",,dōse,N2
滑れる,,ずれる,zureru,N2
合理,rational,ごうり,gōri,N2
儀式,"ceremony, rite, ritual, service",ぎしき,gishiki,N2
歯磨き,"dentifrice, toothpaste",はみがき,hamigaki,N2
苦心,"pain, trouble",くしん,kushin,N2
ボーナス,bonus,,bōnasu,N2
醤油,soy sauce,しょうゆ,shōyu,N2
幾分,somewhat,いくぶん,ikubun,N2
払い戻す,"to repay, to pay back",はらいもどす,haraimodosu,N2
おとなしい,"obedient, docile, quiet",,otonashii,N2
コンクール,contest (fr: concours),,konkūru,N2
妨げる,"to disturb, to prevent",さまたげる,samatageru,N2
田植え,rice planting,たうえ,taue,N2
等分,division into equal parts,とうぶん,tōbun,N2
心当たり,"having some knowledge of, happening to know",こころあたり,kokoroatari,N2
臨時,"temporary, special, extraordinary",りんじ,rinji,N2
おまたせしました,Sorry to have kept you waiting,,omataseshimashita,N2
ごめんください,May I come in?,,gomenkudasai,N2
向う,"(v5u) to face, to go towards",むかう,mukau,N2
延ばす,"to lengthen, to stretch, to reach out, to grow (beard)",のばす,nobasu,N2
心身,mind and body,しんしん,shinshin,N2
丼,"porcelain bowl, bowl of rice with food on top",どんぶり,donburi,N2
各自,"individual, each",かくじ,kakuji,N2
時速,speed (per hour),じそく,jisoku,N2
点く,"to catch fire, (electricity) comes on",つく,tsuku,N2
そういえば,which reminds me ..,,sōieba,N2
可決,"approval, adoption (e.g. motion, bill), passage",かけつ,kaketsu,N2
葬式,funeral,そうしき,sōshiki,N2
統計,"scattering, a scatter, dispersion",とうけい,tōkei,N2
親類,"relation, kin",しんるい,shinrui,N2
瞳,pupil (of eye),ひとみ,hitomi,N2
田ぼ,"paddy field, farm",たんぼ,tanbo,N2
やむをえない,"cannot be helped, unavoidable",,yamuoenai,N2
捜す,"to search, to seek, to look for",さがす,sagasu,N2
執筆,writing,しっぴつ,shippitsu,N2
遠足,"trip, hike, picnic",えんそく,ensoku,N2
日時,date and time,にちじ,nichiji,N2
分数,fraction (in math),ぶんすう,bunsū,N2
教わる,to be taught,おそわる,osowaru,N2
あぶる,to scorch,,aburu,N2
漁師,fisherman,りょうし,ryōshi,N2
欧米,"Europe and America, the West",おうべい,ōbei,N2
大学院,graduate school,だいがくいん,daigakuin,N2
知人,"friend, acquaintance",ちじん,chijin,N2
縛る,"to tie, to bind",しばる,shibaru,N2
くっつく,"to adhere to, to keep close to",,kuttsuku,N2
拝む,"to worship, to beg, to make a supplication",おがむ,ogamu,N2
耕地,arable land,こうち,kōchi,N2
養分,"nourishment, nutrient",ようぶん,yōbun,N2
昼寝,"nap (at home), siesta",ひるね,hirune,N2
なにしろ,"at any rate, anyhow, anyway, in any case",,nanishiro,N2
書道,calligraphy,しょどう,shodō,N2
会館,"meeting hall, assembly hall",かいかん,kaikan,N2
刺す,"to pierce, to stab, to prick, to thrust",さす,sasu,N2
温室,greenhouse,おんしつ,onshitsu,N2
しあさって,two days after tomorrow,,shiasatte,N2
はじめまして,"How do you do?, I am glad to meet you",,hajimemashite,N2
言い付ける,"to tell, to tell on (someone), to order",いいつける,iitsukeru,N2
名物,"famous product, special product, speciality",めいぶつ,meibutsu,N2
捕える,"to seize, to grasp, to capture, to arrest",とらえる,toraeru,N2
改めて,"another time, again, over again, anew, formally",あらためて,aratamete,N2
かるた,(n) playing cards (pt: carta),,karuta,N2
国籍,nationality,こくせき,kokuseki,N2
ランチ,"launch, lunch",,ranchi,N2
作者,"author, authoress",さくしゃ,sakusha,N2
省略,"omission, abbreviation, abridgment",しょうりゃく,shōryaku,N2
落し物,lost property,おとしもの,otoshimono,N2
恐縮,"shame, very kind of you, sorry to trouble",きょうしゅく,kyōshuku,N2
儲ける,"to get, to earn, to gain, to have (bear, beget) a child",もうける,mōkeru,N2
くっつける,to attach,,kuttsukeru,N2
引受る,"to undertake, to take up, to take over",ひきうける,hikiukeru,N2
モーター,motor,,mōtā,N2
照らす,"to shine on, to illuminate",てらす,terasu,N2
悠々,"quiet, calm, leisurely",ゆうゆう,yūyū,N2
自習,self-study,じしゅう,jishū,N2
刻む,"to mince, to carve, to engrave",きざむ,kizamu,N2
自然科学,natural science,しぜんかがく,shizenkagaku,N2
点数,"marks, points, score, runs",てんすう,tensū,N2
素質,"character, qualities, genius",そしつ,soshitsu,N2
女房,wife,にょうぼう,nyōbō,N2
死体,corpse,したい,shitai,N2
定休日,regular holiday,ていきゅうび,teikyūbi,N2
感ずる,"to feel, to sense",かんずる,kanzuru,N2
射す,"to shine, to strike",さす,sasu,N2
逆さ,"reverse, inversion, upside down",さかさ,sakasa,N2
実習,"practice, training",じっしゅう,jisshū,N2
稽古,"practice, training, study",けいこ,keiko,N2
ナンバー,number,,nanbā,N2
さわやか,"fresh, refreshing, invigorating",,sawayaka,N2
国王,king,こくおう,kokuō,N2
ごちそうさま,feast,,gochisōsama,N2
改正,"revision, amendment, alteration",かいせい,kaisei,N2
大分,"considerably, greatly, a lot",だいぶん,daibun,N2
滝,waterfall,たき,taki,N2
箒,(n) broom,ほうき,hōki,N2
指定,"designation, specification, assignment, pointing at",してい,shitei,N2
判子,seal (used for signature),はんこ,hanko,N2
占う,"to forecast, to predict",うらなう,uranau,N2
溶かす,"to melt, to dissolve",とかす,tokasu,N2
又は,"or, otherwise",または,mataha,N2
募集,"recruiting, taking applications",ぼしゅう,boshū,N2
渇く,to be thirsty,かわく,kawaku,N2
構造,"structure, construction",こうぞう,kōzō,N2
煙い,smoky,けむい,kemui,N2
湯飲み,teacup,ゆのみ,yunomi,N2
盆地,basin (e.g. between mountains),ぼんち,bonchi,N2
ひとりでに,"by itself, automatically, naturally",,hitorideni,N2
器械,instrument,きかい,kikai,N2
採点,"marking, grading, looking over",さいてん,saiten,N2
一昨年,year before last,いっさくねん,issakunen,N2
焦点,"focus, point",しょうてん,shōten,N2
探る,"to search, to look for, to sound out",さぐる,saguru,N2
転がる,"to roll, to tumble",ころがる,korogaru,N2
楽器,musical instrument,がっき,gakki,N2
祭る,"to deify, to enshrine",まつる,matsuru,N2
争う,"to dispute, to argue, to be at variance, to compete",あらそう,arasō,N2
代名詞,pronoun,だいめいし,daimeishi,N2
傾く,"to incline toward, to slant, to lurch",かたむく,katamuku,N2
茂る,"to grow thick, to luxuriate, to be luxurious",しげる,shigeru,N2
裁縫,sewing,さいほう,saihō,N2
濡らす,"to wet, to soak, to dip",ぬらす,nurasu,N2
定価,established price,ていか,teika,N2
取り入れる,"to harvest, to take in, to adopt",とりいれる,toriireru,N2
牧畜,stock-farming,ぼくちく,bokuchiku,N2
増大,enlargement,ぞうだい,zōdai,N2
杉,Japanese cedar,すぎ,sugi,N2
短所,"(1) defect, demerit, weak point, (2) disadvantage",たんしょ,tansho,N2
全集,complete works,ぜんしゅう,zenshū,N2
瓶詰,"bottling, bottled",びんづめ,binzume,N2
蝋燭,candle,ろうそく,rōsoku,N2
清掃,cleaning,せいそう,seisō,N2
生年月日,birth date,せいねんがっぴ,seinengappi,N2
片仮名,katakana,かたかな,katakana,N2
マラソン,marathon,,marason,N2
西暦,"Christian Era, anno domini (A.D.)",せいれき,seireki,N2
挟まる,"to get between, to be caught in",はさまる,hasamaru,N2
承る,"(hum) to hear, to be told, to know",うけたまわる,uketamawaru,N2
休養,"rest, break, recreation",きゅうよう,kyūyō,N2
内科,"internist clinic, internal medicine",ないか,naika,N2
煮る,"to boil, to cook",にる,niru,N2
便所,"toilet, lavatory, rest room, latrine, comfort station",べんじょ,benjo,N2
断水,water outage,だんすい,dansui,N2
限度,"limit, bounds",げんど,gendo,N2
四つ角,"four corners, crossroads",よつかど,yotsukado,N2
櫛,comb,くし,kushi,N2
スカーフ,scarf,,sukāfu,N2
サンプル,sample,,sanpuru,N2
攻める,"to attack, to assault",せめる,semeru,N2
シーズン,season (sporting),,shīzun,N2
脱線,"derailment, digression",だっせん,dassen,N2
カーブ,"(1) curve, (2) curve ball (baseball)",,kābu,N2
迷信,superstition,めいしん,meishin,N2
やっぱり,"also, as I thought, still, in spite of, absolutely, of course",,yappari,N2
匂う,"to be fragrant, to smell, to stink",におう,niō,N2
一定,"fixed, settled, definite",いってい,ittei,N2
引っ繰り返す,"to turn over, to overturn, to knock over, to upset, to turn inside out",ひっくりかえす,hikkurikaesu,N2
広める,"to broaden, to propagate",ひろめる,hiromeru,N2
勘違い,"misunderstanding, wrong guess",かんちがい,kanchigai,N2
すっきり,"shapely, clear, neat",,sukkiri,N2
区切る,"to punctuate, to cut off, to mark off, to stop, to put an end to",くぎる,kugiru,N2
取り消す,to cancel,とりけす,torikesu,N2
コース,course,,kōsu,N2
あかんぼう,baby,,akanbō,N2
割引,"discount, reduction, rebate",わりびき,waribiki,N2
交じる,"to be mixed, to be blended with, to associate with",まじる,majiru,N2
戸棚,"cupboard, locker, closet, wardrobe",とだな,todana,N2
いってらっしゃい,,,itterasshai,N2
灰色,"grey, gray, ashen",はいいろ,haiiro,N2
物置,storage room,ものおき,monōki,N2
重量,"(1) weight, (2) heavyweight boxer",じゅうりょう,jūryō,N2
灯油,"lamp oil, kerosene",とうゆ,tōyu,N2
錆びる,"to rust, to become rusty",さびる,sabiru,N2
全般,"(the) whole, universal, wholly, general",ぜんぱん,zenpan,N2
水筒,"canteen, flask, water bottle",すいとう,suitō,N2
おさきに,"before, ahead, previously",,osakini,N2
人造,"man-made, synthetic, artificial",じんぞう,jinzō,N2
裂く,"to tear, to split",さく,saku,N2
目次,table of contents,もくじ,mokuji,N2
消耗,"exhaustion, consumption",しょうもう,shōmō,N2
しびれる,"to become numb, to go to sleep (i.e., a limb)",,shibireru,N2
上旬,first 10 days of month,じょうじゅん,jōjun,N2
一斉,"simultaneous, all at once",いっせい,issei,N2
貯蔵,"storage, preservation",ちょぞう,chozō,N2
重ねる,"to pile up, to put something on another, to heap up, to add, to repeat",かさねる,kasaneru,N2
解放,"release, liberation, emancipation",かいほう,kaihō,N2
静まる,"to quieten down, to calm down, to subside",しずまる,shizumaru,N2
観測,observation,かんそく,kansoku,N2
述語,predicate,じゅつご,jutsugo,N2
出合い,an encounter,であい,deai,N2
列島,chain of islands,れっとう,rettō,N2
血圧,blood pressure,けつあつ,ketsuatsu,N2
縮れる,"to be wavy, to be curled",ちぢれる,chijireru,N2
ダイヤル,dial,,daiyaru,N2
役所,"government office, public office",やくしょ,yakusho,N2
対策,"counter-plan, counter-measure",たいさく,taisaku,N2
就任,"inauguration, assumption of office",しゅうにん,shūnin,N2
石鹸,soap,せっけん,sekken,N2
ほどく,to unfasten,,hodoku,N2
因る,to come from,よる,yoru,N2
汁,"juice, sap, soup, broth",しる,shiru,N2
直線,straight line,ちょくせん,chokusen,N2
超す,"to cross, to pass, to tide over",こす,kosu,N2
どきどき,"throb, beat (fast)",,dokidoki,N2
乱暴,"rude, violent, rough, lawless, unreasonable, reckless",らんぼう,ranbō,N2
退院,leaving hospital,たいいん,taiin,N2
不規則,"irregularity, unsteadiness, disorderly",ふきそく,fukisoku,N2
包帯,"bandage, dressing",ほうたい,hōtai,N2
預かる,"to keep in custody, to receive on deposit, to take charge of",あずかる,azukaru,N2
しぼむ,"to wither, to fade (away), to shrivel, to wilt",,shibomu,N2
車輪,(car) wheel,しゃりん,sharin,N2
用途,"use, usefulness",ようと,yōto,N2
唇,lips,くちびる,kuchibiru,N2
散らかる,"to be in disorder, to lie scattered around",ちらかる,chirakaru,N2
書取,dictation,かきとり,kakitori,N2
人文科学,"social sciences, humanities",じんぶんかがく,jinbunkagaku,N2
漸く,"gradually, finally, hardly",ようやく,yōyaku,N2
どっと,suddenly,,dotto,N2
ジャーナリスト,journalist,,jānarisuto,N2
上級,"advanced level, high grade, senior",じょうきゅう,jōkyū,N2
上る,"to ascend, to go up, to climb",のぼる,noboru,N2
煙突,chimney,えんとつ,entotsu,N2
附属,"attached, belonging, affiliated",ふぞく,fuzoku,N2
そのころ,,,sonokoro,N2
取り出す,"to take out, to produce, to pick out",とりだす,toridasu,N2
破れる,"to get torn, to wear out",やぶれる,yabureru,N2
名作,masterpiece,めいさく,meisaku,N2
栓,"stopper, cork, stopcock",せん,sen,N2
削る,"to cut down little by little, to take a percentage",けずる,kezuru,N2
随筆,"essays, miscellaneous writings",ずいひつ,zuihitsu,N2
かじる,"to chew, to bite (at), to gnaw, to nibble",,kajiru,N2
出迎え,"meeting, reception",でむかえ,demukae,N2
ギャング,gang,,gyangu,N2
警備,"defense, guard, policing, security",けいび,keibi,N2
遭う,"to meet, to encounter (undesirable nuance)",あう,au,N2
清書,clean copy,せいしょ,seisho,N2
銘々,"each, individual",めいめい,meimei,N2
年度,"year, fiscal year, school year, term",ねんど,nendo,N2
余る,"to remain, to be left over, to be in excess, to be too many",あまる,amaru,N2
直角,right angle,ちょっかく,chokkaku,N2
水蒸気,"water vapour, steam",すいじょうき,suijōki,N2
投書,"letter to the editor, letter from a reader, contribution",とうしょ,tōsho,N2
診断,diagnosis,しんだん,shindan,N2
下旬,month (last third of),げじゅん,gejun,N2
せめて,"offense, method of attack",,semete,N2
イコール,equal,,ikōru,N2
感想,"impressions, thoughts",かんそう,kansō,N2
ベテラン,veteran,,beteran,N2
気圧,atmospheric pressure,きあつ,kiatsu,N2
更ける,"to get late, to advance, to wear on",ふける,fukeru,N2
雑巾,"house-cloth, dust cloth",ぞうきん,zōkin,N2
欲張り,"avarice, covetousness, greed",よくばり,yokubari,N2
はきはき,lucidly,,hakihaki,N2
相違,"difference, discrepancy, variation",そうい,sōi,N2
暖まる,"to warm up, to get warm",あたたまる,atatamaru,N2
あわてる,to become confused,,awateru,N2
零点,"zero, no marks",れいてん,reiten,N2
打合せ,"business meeting, previous arrangement, appointment",うちあわせ,uchiawase,N2
坊や,boy,ぼうや,bōya,N2
敷く,"to spread out, to lay out",しく,shiku,N2
ゴム,"gum, rubber, eraser",,gomu,N2
うろうろ,"loiteringly, aimless wandering",,urōro,N2
斬る,"(v5r) to behead, to murder",きる,kiru,N2
貝,"shell, shellfish",かい,kai,N2
釜,"iron pot, kettle",かま,kama,N2
人通り,pedestrian traffic,ひとどおり,hitodōri,N2
物騒,"dangerous, disturbed, insecure",ぶっそう,bussō,N2
便箋,"writing paper, stationery",びんせん,binsen,N2
通訳,interpretation,つうやく,tsūyaku,N2
トレーニング,training,,torēningu,N2
接近,"getting closer, drawing nearer, approaching",せっきん,sekkin,N2
口紅,lipstick,くちべに,kuchibeni,N2
コンクリート,concrete,,konkurīto,N2
初旬,first 10 days of the month,しょじゅん,shojun,N2
タイア,"tire, tyre",,taia,N2
艶,"gloss, glaze",つや,tsuya,N2
あてはめる,"to apply, to adapt",,atehameru,N2
出来上がる,"(1) to be finished, to be ready, by definition, (2) to be very drunk",できあがる,dekiagaru,N2
カバー,cover (ex. book),,kabā,N2
餅,sticky rice cake,もち,mochi,N2
修繕,"repair, mending",しゅうぜん,shūzen,N2
だいいち,"first, foremost, # 1",（副）,(),N2
要旨,"gist, essentials, summary, fundamentals",ようし,yōshi,N2
崩す,"to destroy, to pull down, to make change (money)",くずす,kuzusu,N2
両側,both sides,りょうがわ,ryōgawa,N2
洒落,"joke, pun, witticism",しゃれ,share,N2
司会,chairmanship,しかい,shikai,N2
項目,item,こうもく,kōmoku,N2
付合う,"to associate with, to keep company with, to get on with",つきあう,tsukiau,N2
頂点,"top, summit",ちょうてん,chōten,N2
筆記,"(taking) notes, copying",ひっき,hikki,N2
火口,"a burner, origin of a fire",かこう,kakō,N2
庖丁,"kitchen knife, carving knife",ほうちょう,hōchō,N2
応ずる,"to answer, to respond, to meet, to satisfy, to accept",おうずる,ōzuru,N2
狡い,"sly, cunning",ずるい,zurui,N2
広々,"extensive, spacious",ひろびろ,hirobiro,N2
家主,landlord,やぬし,yanushi,N2
校舎,school building,こうしゃ,kōsha,N2
挿す,"to insert, to put in, to graft, to wear in belt",さす,sasu,N2
下町,"Shitamachi, lower parts of town",したまち,shitamachi,N2
逸れる,"to stray (turn) from subject, to get lost, to go astray",それる,soreru,N2
長所,"(1) strong point, merit, (2) advantage",ちょうしょ,chōsho,N2
おめでたい,"happy event, matter for congratulation, auspicious event, pregnancy",,omedetai,N2
明け方,dawn,あけがた,akegata,N2
×,,ばつ,batsu,N2
片付く,"to put in order, to dispose of, to solve",かたづく,katazuku,N2
広場,plaza,ひろば,hiroba,N2
過失,"error, blunder, accident",かしつ,kashitsu,N2
写る,"to be photographed, to be projected",うつる,utsuru,N2
払い込む,"to deposit, to pay in",はらいこむ,haraikomu,N2
案外,unexpectedly,あんがい,angai,N2
電波,electro-magnetic wave,でんぱ,denpa,N2
部首,radical (of a kanji character),ぶしゅ,bushu,N2
民間,"private, civilian, civil, popular, folk, unofficial",みんかん,minkan,N2
毛皮,"fur, skin, pelt",けがわ,kegawa,N2
隔てる,to be shut out,へだてる,hedateru,N2
団地,multi-unit apartments,だんち,danchi,N2
お帰り,"return, welcome",おかえり,okaeri,N2
蚊,mosquito,か,ka,N2
受験,taking an examination,じゅけん,juken,N2
めでたい,"happy, simple soul, propitious, joyous",,medetai,N2
おまちください,Please wait a moment,,omachikudasai,N2
卒直,"frankness, candour, openheartedness",そっちょく,sotchoku,N2
大工,carpenter,だいく,daiku,N2
関西,,かんさい,kansai,N2
残らず,"all, entirely, completely, without exception",のこらず,nokorazu,N2
おまちどおさま,Sorry to have kept you waiting,,omachidōsama,N2
解答,"answer, solution",かいとう,kaitō,N2
ストッキング,stockings,,sutokkingu,N2
出勤,"going to work, at work",しゅっきん,shukkin,N2
測量,"measurement, surveying",そくりょう,sokuryō,N2
わりあいに,comparatively,,wariaini,N2
下降,"downward, descent, fall, drop, subsidence",かこう,kakō,N2
気を付ける,"to be careful, to pay attention, to take care",きをつける,kiotsukeru,N2
発売,sale,はつばい,hatsubai,N2
さきおととい,two days before yesterday,,sakiototoi,N2
バケツ,"bucket, pail",,baketsu,N2
縞,stripe,しま,shima,N2
派手,"showy, loud, gay, flashy, gaudy",はで,hade,N2
区分,"division, section, classification",くぶん,kubun,N2
湿気,"moisture, humidity, dampness",しっけ,shikke,N2
コック,"(1) cook (nl:), (2) tap, spigot, faucet, cock",,kokku,N2
慶び,"(n) (a) joy, (a) delight, rapture, pleasure, gratification, rejoicing, congratulations, felicitations",よろこび,yorokobi,N2
姓,"surname, family name",せい,sei,N2
オーバーコート,,,ōbākōto,N2
近寄る,"to approach, to draw near",ちかよる,chikayoru,N2
助教授,assistant professor,じょきょうじゅ,jokyōju,N2
襖,sliding screen,ふすま,fusuma,N2
膨らます,"to swell, to expand, to inflate, to bulge",ふくらます,fukuramasu,N2
水産,"marine products, fisheries",すいさん,suisan,N2
通帳,passbook,つうちょう,tsūchō,N2
停電,failure of electricity,ていでん,teiden,N2
平日,"weekday, ordinary days",へいじつ,heijitsu,N2
マンション,"large apartment, apartment house",,manshon,N2
何分,"what minute?, how many minutes?",なにぶん,nanibun,N2
早口,fast-talking,はやくち,hayakuchi,N2
フリー,free,,furī,N2
点々,"here and there, little by little",てんてん,tenten,N2
直流,direct current,ちょくりゅう,chokuryū,N2
突っ込む,"to plunge into, to go into deeply",つっこむ,tsukkomu,N2
見学,"inspection, study by observation, field trip",けんがく,kengaku,N2
量る,"to measure, to weigh, to survey",はかる,hakaru,N2
のこぎり,saw,,nokogiri,N2
大凡,"about, roughly, as a rule, approximately",おおよそ,ōyoso,N2
煉瓦,brick,れんが,renga,N2
防犯,prevention of crime,ぼうはん,bōhan,N2
回答,"reply, answer",かいとう,kaitō,N2
過剰,"excess, over-",かじょう,kajō,N2
寿命,life span,じゅみょう,jumyō,N2
不運,"unlucky, misfortune, bad luck, fate",ふうん,fūn,N2
埋める,"to bury, to fill up, to fill (a seat, a vacant position)",うめる,umeru,N2
足袋,"tabi, Japanese socks (with split toe)",たび,tabi,N2
消防署,fire station,しょうぼうしょ,shōbōsho,N2
後輩,junior (at work or school),こうはい,kōhai,N2
材木,"lumber, timber",ざいもく,zaimoku,N2
謙遜,"humble, humility, modesty",けんそん,kenson,N2
真空,"vacuum, hollow, empty",しんくう,shinkū,N2
しょうがない,,,shōganai,N2
